wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run w7d5h0ij
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_182331-w7d5h0ij
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v1-residual-curriculum
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/w7d5h0ij
episodes 2020-2039: success_rate=0.850 mean_reward=814.48 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2040-2059: success_rate=0.700 mean_reward=637.69 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.500
episodes 2060-2079: success_rate=0.900 mean_reward=801.65 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2080-2099: success_rate=1.000 mean_reward=815.09 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2100-2119: success_rate=0.950 mean_reward=795.71 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2120-2139: success_rate=0.900 mean_reward=785.60 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2140-2159: success_rate=0.700 mean_reward=724.72 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.500
episodes 2160-2179: success_rate=0.950 mean_reward=810.80 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2180-2199: success_rate=0.850 mean_reward=728.40 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2200-2219: success_rate=0.950 mean_reward=795.16 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.833
episodes 2220-2239: success_rate=0.850 mean_reward=750.58 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2240-2259: success_rate=0.850 mean_reward=770.41 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2260-2279: success_rate=0.850 mean_reward=729.88 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2280-2299: success_rate=0.900 mean_reward=778.19 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2300-2319: success_rate=1.000 mean_reward=820.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2320-2339: success_rate=0.950 mean_reward=807.69 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2340-2359: success_rate=0.800 mean_reward=735.44 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=1.000
episodes 2360-2379: success_rate=0.650 mean_reward=733.92 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full scheduler_success_rate=0.500
