wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /home/seohy/.netrc.
wandb: Currently logged in as: ohseohyun0531 (ohseohyun0531-kwangwoon-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run wjyrzjoc
wandb: Tracking run with wandb version 0.28.1
wandb: Run data is saved locally in /home/seohy/colcon_ws/src/Adaptive_Cost_MPC/wandb/run-20260726_232348-wjyrzjoc
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run postfix-v3-hard-domain
wandb: ⭐️ View project at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch
wandb: 🚀 View run at https://wandb.ai/ohseohyun0531-kwangwoon-university/adaptive-cost-mpc-box-catch/runs/wjyrzjoc
episodes 1940-1959: success_rate=0.900 mean_reward=746.00 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 1960-1979: success_rate=0.750 mean_reward=439.02 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 1980-1999: success_rate=0.950 mean_reward=825.74 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2000-2019: success_rate=0.900 mean_reward=820.46 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2020-2039: success_rate=0.800 mean_reward=692.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2040-2059: success_rate=0.700 mean_reward=631.20 mean_actor_loss=0.0125 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.500
episodes 2060-2079: success_rate=0.700 mean_reward=728.05 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.500
episodes 2080-2099: success_rate=1.000 mean_reward=818.01 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2100-2119: success_rate=0.800 mean_reward=688.92 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2120-2139: success_rate=0.900 mean_reward=785.63 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2140-2159: success_rate=0.700 mean_reward=665.45 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.667
episodes 2160-2179: success_rate=0.750 mean_reward=782.78 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2180-2199: success_rate=0.900 mean_reward=779.52 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2200-2219: success_rate=0.850 mean_reward=750.65 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2220-2239: success_rate=0.900 mean_reward=689.62 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2240-2259: success_rate=0.850 mean_reward=780.10 mean_actor_loss=0.0123 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2260-2279: success_rate=0.850 mean_reward=707.21 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2280-2299: success_rate=0.850 mean_reward=778.59 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2300-2319: success_rate=0.900 mean_reward=815.90 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2320-2339: success_rate=0.850 mean_reward=765.17 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2340-2359: success_rate=0.700 mean_reward=729.09 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2360-2379: success_rate=0.700 mean_reward=690.63 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2380-2399: success_rate=0.750 mean_reward=760.42 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2400-2419: success_rate=0.800 mean_reward=599.07 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=1.000
episodes 2420-2439: success_rate=0.850 mean_reward=713.54 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
episodes 2440-2459: success_rate=0.900 mean_reward=785.03 mean_actor_loss=0.0124 mean_kl=0.0000 stage=full_wide_speed scheduler_success_rate=0.833
