condition,seed,phase,cost,residual_median,residual_p05,residual_p95,residual_absolute_median,maximum_absolute_residual,prior_ratio_mean,prior_ratio_median,prior_ratio_p05,prior_ratio_p95
D0,27,pre_impact,smoothness,0.0035169146746603353,-0.04282779123806772,0.03334046795722046,0.014581271083737062,0.05173191545397664,1.0006728625709755,1.0035169146746603,0.9571722087619322,1.0333404679572207
D0,27,capture,object,0.0005325567496965695,-0.007845286883043198,0.009285855145372966,0.021349093680958237,0.031177683126622866,1.000651440182697,1.0005325567496965,0.9921547131169569,1.009285855145373
D0,27,capture,grasp,0.0015675010032608547,-0.004654764728106178,0.007506423605420884,0.023449291561406863,0.03019787242690508,1.0015004957539377,1.0015675010032608,0.9953452352718938,1.0075064236054208
D0,27,capture,compression,-0.003617566250860869,-0.008299642526884414,0.0014199962393689487,0.013979885514477708,0.019028093848902115,0.9964534390855917,0.9963824337491389,0.9917003574731156,1.0014199962393688
D0,27,capture,velocity,0.0005103870602692473,-0.026926661405608173,0.025746083016868936,0.02048030996760885,0.037709755379618425,1.000044091665058,1.0005103870602692,0.9730733385943917,1.025746083016869
D0,27,capture,smoothness,0.001608517694043713,-0.04212644318329465,0.03733154608207563,0.014982692079284715,0.052957884442994214,0.9998099497988631,1.0016085176940437,0.9578735568167053,1.0373315460820758
D0,27,hold,object,0.004650899913736463,-0.0027160353166309032,0.01222535894922824,0.01211324905281116,0.03096538404671715,1.0045641543951576,1.0046508999137365,0.9972839646833691,1.0122253589492283
D0,27,hold,grasp,0.0068382067491720554,0.00035936105119889196,0.010761892722324333,0.013044488184092429,0.027628201809102866,1.006411542818328,1.0068382067491721,1.000359361051199,1.0107618927223243
D0,27,hold,compression,-0.0008583584150631784,-0.005797742404950279,0.003464284385416263,0.007528419282791304,0.019218171877919448,0.9990134799901692,0.9991416415849368,0.9942022575950498,1.0034642843854162
D0,27,hold,velocity,0.003960681302896277,-0.017073166097604325,0.01407085691992457,0.010477416891533933,0.03462066381771556,1.001829025022469,1.0039606813028963,0.9829268339023957,1.0140708569199246
D0,27,hold,smoothness,0.0005702174802931367,-0.019358197800815432,0.0144067661208762,0.00795684585569748,0.04395072915440179,0.9997681675699058,1.000570217480293,0.9806418021991846,1.0144067661208762
D1,7,intercept,object,0.4027800617218017,0.23492500954469045,0.45215861694018045,0.40344787188371023,0.4634815052350362,1.3806408445997576,1.4027800617218018,1.2349250095446904,1.4521586169401803
D1,7,intercept,grasp,-0.37445794555664064,-0.41024076872634885,0.08598378656387323,0.4088027304840088,0.46803465019226076,0.7074007979399838,0.6255420544433593,0.5897592312736513,1.0859837865638733
D1,7,intercept,compression,-0.2698779337405722,-0.33354561370170693,0.06958660200854236,0.3424285614594287,0.4761963805936817,0.7842746763430466,0.7301220662594278,0.666454386298293,1.0695866020085425
D1,7,intercept,velocity,-0.36938119783997536,-0.4932635026201606,0.30443411048501723,0.4059519752860069,0.5418882885575295,0.7371195759108935,0.6306188021600246,0.5067364973798394,1.3044341104850172
D1,7,intercept,smoothness,-0.24385040248594578,-0.5017354392933036,0.3184766122180727,0.339367040218904,0.5570324081810951,0.8510415647921227,0.7561495975140542,0.4982645607066965,1.3184766122180727
D1,7,pre_impact,object,0.29929991205533346,0.1823292806704839,0.42781603307724,0.3384989103476206,0.44441121848424275,1.3071886925225704,1.2992999120553335,1.182329280670484,1.4278160330772403
D1,7,pre_impact,grasp,-0.3924312121582031,-0.4481532093009949,-0.3239359948921204,0.40484047653198246,0.4509077808380127,0.6095385838442668,0.6075687878417969,0.5518467906990052,0.6760640051078797
D1,7,pre_impact,compression,-0.3006972604404616,-0.3666431819068954,-0.20710466582799295,0.3470869765812251,0.4036433540923753,0.7033624158415988,0.6993027395595385,0.6333568180931046,0.792895334172007
D1,7,pre_impact,velocity,-0.31670985701288795,-0.4647368743856734,0.4405659322859725,0.3926735369036109,0.4882502276686927,0.8182284035969941,0.683290142987112,0.5352631256143267,1.4405659322859725
D1,7,pre_impact,smoothness,0.0803244305407249,-0.43756143347649695,0.427344994908127,0.3131845295236978,0.5097261537981549,1.0196276982430035,1.080324430540725,0.5624385665235031,1.4273449949081272
D1,7,capture,object,0.18196941287933496,0.11401237110423171,0.22582427523068116,0.33208200445574315,0.37748642712729596,1.1768147854421755,1.181969412879335,1.1140123711042316,1.2258242752306814
D1,7,capture,grasp,-0.2736313877395917,-0.34361323683976225,-0.2275282388366594,0.3695491346479257,0.4132273200363563,0.7246446070335324,0.7263686122604083,0.6563867631602378,0.7724717611633405
D1,7,capture,compression,-0.21976984996516688,-0.2783767361486001,-0.16153310862587977,0.3445142087020843,0.3902986989828274,0.7832400640923637,0.7802301500348331,0.7216232638513999,0.8384668913741202
D1,7,capture,velocity,-0.2107050709798258,-0.3735889234106532,0.3069803351163372,0.41974617030633166,0.49602764430774104,0.8710084143433697,0.7892949290201741,0.6264110765893469,1.306980335116337
