condition,seed,episode,term,mean,std,min,max,updates
D1,27,0,policy_surrogate_loss,1.26696214415e-09,9.54992886356e-08,-1.92873179913e-07,2.2029876709e-07,41
D1,27,100,total_actor_loss,0.0124184181279,1.5287752245e-06,0.0124142225832,0.0124206058681,44
D1,27,100,entropy_bonus,0.0124183935035,1.53195483068e-06,0.0124144277573,0.0124201974869,44
D1,27,100,policy_surrogate_loss,2.46243382039e-08,3.37439278742e-07,-6.66327774524e-07,1.50515884161e-06,44
D1,27,200,total_actor_loss,0.0122154396959,8.247475596e-07,0.0122138746083,0.0122172813863,40
D1,27,200,entropy_bonus,0.0122154532671,8.41702199997e-07,0.0122145776749,0.012217414856,40
D1,27,200,policy_surrogate_loss,-1.35712325576e-08,1.7065888581e-07,-7.59333372116e-07,4.69908118248e-07,40
D1,27,300,total_actor_loss,0.0121166745434,9.0514911119e-07,0.0121157038957,0.0121187502518,40
D1,27,300,entropy_bonus,0.0121166652918,9.21411921681e-07,0.0121157388687,0.0121188468933,40
D1,27,300,policy_surrogate_loss,9.25157219145e-09,7.85662898691e-08,-1.26414000988e-07,2.13690102099e-07,40
D1,27,399,total_actor_loss,0.0117484454474,0.0018575923471,0,0.0120428204536,41
D1,27,399,entropy_bonus,0.0117484277167,0.00185758954201,-0,0.0120426855087,41
D1,27,399,policy_surrogate_loss,1.77307463272e-08,8.26255913255e-08,-2.08422541618e-07,1.94452702999e-07,41
D2,7,0,total_actor_loss,0.0122242957531,0.00190911495313,0,0.0125260585919,42
D2,7,0,entropy_bonus,0.0122243077641,0.00190911683218,-0,0.0125261163712,42
D2,7,0,policy_surrogate_loss,-1.20110455017e-08,1.04695895181e-07,-2.48722732068e-07,2.38694250584e-07,42
D2,7,100,total_actor_loss,0.0123797215056,4.20954250609e-07,0.0123779848218,0.0123807480559,44
D2,7,100,entropy_bonus,0.0123797441396,1.73772764151e-07,0.012379324913,0.0123799381256,44
D2,7,100,policy_surrogate_loss,-2.26340171968e-08,3.62539134826e-07,-1.34009122849e-06,1.2839064002e-06,44
D2,7,200,total_actor_loss,0.0122231136457,1.72051255614e-07,0.0122225722298,0.0122234234586,44
D2,7,200,entropy_bonus,0.012223120451,1.44834260572e-07,0.0122228240967,0.0122232885361,44
D2,7,200,policy_surrogate_loss,-6.80525871848e-09,9.57069490419e-08,-4.7216564417e-07,1.49227678775e-07,44
D2,7,300,total_actor_loss,0.0120755613782,1.14747742307e-06,0.0120720360428,0.0120766665787,40
D2,7,300,entropy_bonus,0.0120755309105,1.14119684459e-06,0.0120729055405,0.0120764083862,40
D2,7,300,policy_surrogate_loss,3.04676592347e-08,2.24292001301e-07,-8.79034399987e-07,7.45423138141e-07,40
D2,7,399,total_actor_loss,0.011947703309,9.69493156049e-07,0.0119448434561,0.0119485110044,39
D2,7,399,entropy_bonus,0.0119477436604,9.33017510354e-07,0.0119453239441,0.0119484319687,39
D2,7,399,policy_surrogate_loss,-4.03513893107e-08,1.71124845346e-07,-7.78034329414e-07,3.28831374645e-07,39
D2,17,0,total_actor_loss,0.0125267765735,3.03206223862e-07,0.0125257410109,0.0125272618607,41
D2,17,0,entropy_bonus,0.0125267643347,2.93299699644e-07,0.0125257177353,0.0125272903442,41
D2,17,0,policy_surrogate_loss,1.22387598199e-08,1.17716154718e-07,-2.36235558986e-07,3.77848744392e-07,41
D2,17,100,total_actor_loss,0.0121469538341,0.00192060207808,0,0.0124518461525,41
D2,17,100,entropy_bonus,0.0121469727726,0.00192060507488,-0,0.0124517974854,41
D2,17,100,policy_surrogate_loss,-1.89384672703e-08,1.11959366743e-07,-5.88141381741e-07,1.41941010952e-07,41
D2,17,200,total_actor_loss,0.0123925332446,6.13645312489e-07,0.0123900528997,0.0123929884285,44
D2,17,200,entropy_bonus,0.0123925303112,5.64154312782e-07,0.012391046524,0.0123929462433,44
D2,17,200,policy_surrogate_loss,2.93332744714e-09,3.28072031657e-07,-1.21392309666e-06,1.69962644577e-06,44
D2,17,300,total_actor_loss,0.0123161239211,7.50714588307e-07,0.0123149203137,0.0123178744689,44
D2,17,300,entropy_bonus,0.0123161473057,7.43821935546e-07,0.0123151311874,0.0123176403046,44
D2,17,300,policy_surrogate_loss,-2.3384663192e-08,1.44597617844e-07,-7.07253813743e-07,3.85798513889e-07,44
D2,17,399,total_actor_loss,0.01050052406,0.00428682110823,0,0.012252504006,7
D2,17,399,entropy_bonus,0.0105007603509,0.00428691746397,-0,0.0122511634827,7
D2,17,399,policy_surrogate_loss,-2.36290906157e-07,1.04111705208e-06,-2.16776877642e-06,1.56559050083e-06,7
D2,27,0,total_actor_loss,0.0125207165483,2.15295340265e-06,0.0125184357166,0.0125256851315,41
D2,27,0,entropy_bonus,0.0125207007804,2.15039333593e-06,0.0125186014175,0.0125257177353,41
D2,27,0,policy_surrogate_loss,1.57679726435e-08,8.31918858646e-08,-1.65700912476e-07,2.2442638874e-07,41
D2,27,100,total_actor_loss,0.0124477364589,9.53835616637e-07,0.0124451071024,0.0124491713941,44
D2,27,100,entropy_bonus,0.0124477054639,9.4402355848e-07,0.012445681572,0.0124490242004,44
D2,27,100,policy_surrogate_loss,3.09949232771e-08,4.16862765347e-07,-9.37819480896e-07,1.17042660713e-06,44
D2,27,200,total_actor_loss,0.0122881567833,1.2118502132e-06,0.0122844344005,0.0122890919447,41
D2,27,200,entropy_bonus,0.0122881127102,1.32137375575e-06,0.0122849693298,0.0122890815735,41
D2,27,200,policy_surrogate_loss,4.40730917741e-08,3.35631198336e-07,-6.51277601718e-07,1.63225829601e-06,41
D2,27,300,total_actor_loss,0.0120925278064,1.01847293136e-06,0.01209144108,0.012095592916,44
D2,27,300,entropy_bonus,0.0120925148617,9.70053246987e-07,0.0120914297104,0.0120943517685,44
D2,27,300,policy_surrogate_loss,1.29447064614e-08,4.08731182259e-07,-2.05552577972e-06,1.2668967247e-06,44
D2,27,399,total_actor_loss,0.0119702354582,1.50712446381e-06,0.0119672250003,0.011973711662,44
D2,27,399,entropy_bonus,0.0119701041308,1.41019074555e-06,0.0119677276611,0.0119719667435,44
D2,27,399,policy_surrogate_loss,1.31327320229e-07,1.10713318293e-06,-2.42857635021e-06,3.35312634706e-06,44
D3,7,0,total_actor_loss,0.0122242865286,0.00190911350087,0,0.0125260325149,42
D3,7,0,entropy_bonus,0.0122242930503,0.00190911453637,-0,0.0125261163712,42
D3,7,0,policy_surrogate_loss,-6.52174154946e-09,8.57630984094e-08,-2.07930803299e-07,1.42231583594e-07,42
D3,7,100,total_actor_loss,0.0120444994465,0.00190440275327,0,0.0123464222997,41
D3,7,100,entropy_bonus,0.0120445057008,0.00190440375223,-0,0.0123462533951,41
D3,7,100,policy_surrogate_loss,-6.25430810766e-09,8.88214398155e-08,-1.86078250409e-07,2.39230692386e-07,41
D3,7,200,total_actor_loss,0.0122531376461,1.1804241161e-06,0.0122515782714,0.0122564313933,41
D3,7,200,entropy_bonus,0.0122531006976,1.12230288125e-06,0.012251830101,0.0122553882599,41
D3,7,200,policy_surrogate_loss,3.69485195088e-08,2.09644526738e-07,-4.01929020882e-07,1.12514942884e-06,41
D3,7,300,total_actor_loss,0.0120304740161,1.20006516453e-06,0.012027233839,0.0120324445888,44
D3,7,300,entropy_bonus,0.0120305757089,1.0033564619e-06,0.0120290546417,0.012032409668,44
D3,7,300,policy_surrogate_loss,-1.01692805236e-07,4.17679143054e-07,-2.07448005676e-06,9.94823873043e-07,44
D3,7,399,total_actor_loss,0.0118779655641,1.01206851351e-06,0.0118769174442,0.0118811186403,39
D3,7,399,entropy_bonus,0.0118779202486,9.31402915325e-07,0.0118769016266,0.0118798065186,39
