condition,seed,phase,cost,horizon,weight_mean
D0,17,capture,velocity,1,2.513418317871962
D0,17,capture,velocity,2,2.551388711335571
D0,17,capture,velocity,3,2.5592745579700042
D0,17,capture,velocity,4,2.557105652698708
D0,17,capture,velocity,5,2.555636166652493
D0,17,capture,velocity,6,2.554262040412467
D0,17,capture,velocity,7,2.550570002985232
D0,17,capture,smoothness,0,0.6604638907126448
D0,17,capture,smoothness,1,0.6495786201473435
D0,17,capture,smoothness,2,0.6546838103624775
D0,17,capture,smoothness,3,0.6557508971211075
D0,17,capture,smoothness,4,0.6583779859270799
D0,17,capture,smoothness,5,0.6598209432740756
D0,17,capture,smoothness,6,0.6590909357315572
D0,17,capture,smoothness,7,0.6593436047790838
D0,17,hold,object,0,60.774785906299805
D0,17,hold,object,1,60.62134373851131
D0,17,hold,object,2,60.5509707155002
D0,17,hold,object,3,60.50140142617379
D0,17,hold,object,4,60.44986979133131
D0,17,hold,object,5,60.38915738821285
D0,17,hold,object,6,60.31609763304828
D0,17,hold,object,7,60.22855708243062
D0,17,hold,grasp,0,21.13639002677561
D0,17,hold,grasp,1,21.1237391567623
D0,17,hold,grasp,2,21.11615349884667
D0,17,hold,grasp,3,21.111640537137767
D0,17,hold,grasp,4,21.108755656525858
D0,17,hold,grasp,5,21.106831298016107
D0,17,hold,grasp,6,21.105720563902548
D0,17,hold,grasp,7,21.1055125207581
D0,17,hold,compression,0,64.73181040301816
D0,17,hold,compression,1,64.73756965196516
D0,17,hold,compression,2,64.74271065417696
D0,17,hold,compression,3,64.74714903695026
D0,17,hold,compression,4,64.75076475707822
D0,17,hold,compression,5,64.75353570145585
D0,17,hold,compression,6,64.75551295230599
D0,17,hold,compression,7,64.75684337369934
D0,17,hold,velocity,0,1.9600643089570238
D0,17,hold,velocity,1,1.9791355790445189
D0,17,hold,velocity,2,2.0026791506004566
D0,17,hold,velocity,3,2.010163682553514
D0,17,hold,velocity,4,2.010311247799543
D0,17,hold,velocity,5,2.0099048882832173
D0,17,hold,velocity,6,2.009019633132343
D0,17,hold,velocity,7,2.0058594173337783
D0,17,hold,smoothness,0,1.494890431844584
D0,17,hold,smoothness,1,1.4741552522180685
D0,17,hold,smoothness,2,1.4839585482299822
D0,17,hold,smoothness,3,1.4855803419680416
D0,17,hold,smoothness,4,1.487931769366284
D0,17,hold,smoothness,5,1.492256984596334
D0,17,hold,smoothness,6,1.4933040048645163
D0,17,hold,smoothness,7,1.494597454747096
D0,27,intercept,object,0,31.43558844244366
D0,27,intercept,object,1,31.228234202463103
D0,27,intercept,object,2,31.1305549503791
D0,27,intercept,object,3,31.057073186258453
D0,27,intercept,object,4,30.977414529357503
D0,27,intercept,object,5,30.88050018139248
D0,27,intercept,object,6,30.76080891455588
D0,27,intercept,object,7,30.6169546853083
D0,27,intercept,grasp,0,256.0560798846987
D0,27,intercept,grasp,1,255.82859369346895
D0,27,intercept,grasp,2,255.76188482835067
D0,27,intercept,grasp,3,255.75961813515087
D0,27,intercept,grasp,4,255.7787591149974
D0,27,intercept,grasp,5,255.8019965310463
D0,27,intercept,grasp,6,255.82490409667494
D0,27,intercept,grasp,7,255.85289192798177
D0,27,intercept,compression,0,0.04982156663970628
D0,27,intercept,compression,1,0.04982001577105682
D0,27,intercept,compression,2,0.04981933101947998
D0,27,intercept,compression,3,0.04981891681809257
D0,27,intercept,compression,4,0.0498186867585246
D0,27,intercept,compression,5,0.049818532457332816
D0,27,intercept,compression,6,0.04981841461388173
D0,27,intercept,compression,7,0.04981832761979424
D0,27,intercept,velocity,0,3.848612209407455
D0,27,intercept,velocity,1,3.957901197725968
D0,27,intercept,velocity,2,4.074530068341014
D0,27,intercept,velocity,3,4.076238701357751
D0,27,intercept,velocity,4,4.065788009924255
D0,27,intercept,velocity,5,4.06037460221012
D0,27,intercept,velocity,6,4.05418390924682
D0,27,intercept,velocity,7,4.034317854159707
D0,27,intercept,smoothness,0,0.3949839017116043
D0,27,intercept,smoothness,1,0.39774488023293486
D0,27,intercept,smoothness,2,0.40071307054438493
D0,27,intercept,smoothness,3,0.40158942456331154
D0,27,intercept,smoothness,4,0.403046836075759
D0,27,intercept,smoothness,5,0.4013861038080716
D0,27,intercept,smoothness,6,0.40049885181484357
D0,27,intercept,smoothness,7,0.40105608904530526
D0,27,pre_impact,object,0,30.766706055621057
D0,27,pre_impact,object,1,30.638478333757657
D0,27,pre_impact,object,2,30.577035646061354
D0,27,pre_impact,object,3,30.529148387191317
D0,27,pre_impact,object,4,30.47618410199001
D0,27,pre_impact,object,5,30.411299670654554
D0,27,pre_impact,object,6,30.33087798667317
D0,27,pre_impact,object,7,30.233518314959728
D0,27,pre_impact,grasp,0,252.74950042227766
D0,27,pre_impact,grasp,1,252.77902017623381
D0,27,pre_impact,grasp,2,252.79739502315698
D0,27,pre_impact,grasp,3,252.8183232753485
D0,27,pre_impact,grasp,4,252.84054201987544
D0,27,pre_impact,grasp,5,252.8604415437764
D0,27,pre_impact,grasp,6,252.8763347083955
D0,27,pre_impact,grasp,7,252.88921940241974
D0,27,pre_impact,compression,0,0.9438644844117675
D0,27,pre_impact,compression,1,0.9436961581160247
D0,27,pre_impact,compression,2,0.9435742111452872
D0,27,pre_impact,compression,3,0.9434759203375387
D0,27,pre_impact,compression,4,0.9433945570416276
D0,27,pre_impact,compression,5,0.9433297133682444
D0,27,pre_impact,compression,6,0.9432825368491261
D0,27,pre_impact,compression,7,0.9432509337471738
D0,27,pre_impact,velocity,0,3.3187252741528117
D0,27,pre_impact,velocity,1,3.362580507237768
D0,27,pre_impact,velocity,2,3.41388226019952
D0,27,pre_impact,velocity,3,3.4143351122336627
D0,27,pre_impact,velocity,4,3.4095881701976714
D0,27,pre_impact,velocity,5,3.407154626530388
D0,27,pre_impact,velocity,6,3.40465011349737
D0,27,pre_impact,velocity,7,3.3972059747242556
D0,27,pre_impact,smoothness,0,0.45786618653716205
D0,27,pre_impact,smoothness,1,0.4610510365792711
D0,27,pre_impact,smoothness,2,0.4623173075602699
D0,27,pre_impact,smoothness,3,0.4626589104694493
D0,27,pre_impact,smoothness,4,0.464499987935343
D0,27,pre_impact,smoothness,5,0.4633882415306141
D0,27,pre_impact,smoothness,6,0.46261402510965366
D0,27,pre_impact,smoothness,7,0.46284215520708116
D0,27,capture,object,0,26.149767111648597
D0,27,capture,object,1,26.13015638260731
D0,27,capture,object,2,26.119299819575787
D0,27,capture,object,3,26.108837857070892
D0,27,capture,object,4,26.096058213652856
D0,27,capture,object,5,26.07995194565618
D0,27,capture,object,6,26.059886159582465
D0,27,capture,object,7,26.03513980298495
D0,27,capture,grasp,0,189.7692615025483
D0,27,capture,grasp,1,189.92455695923397
D0,27,capture,grasp,2,189.98442558156023
D0,27,capture,grasp,3,190.01291360354512
D0,27,capture,grasp,4,190.03085786167443
D0,27,capture,grasp,5,190.04330059506995
D0,27,capture,grasp,6,190.05062980337988
D0,27,capture,grasp,7,190.05110145416631
D0,27,capture,compression,0,16.79962326568887
D0,27,capture,compression,1,16.7968282957302
D0,27,capture,compression,2,16.794358218594816
D0,27,capture,compression,3,16.792166926214094
D0,27,capture,compression,4,16.790282872714982
D0,27,capture,compression,5,16.788760444061033
D0,27,capture,compression,6,16.787644071709085
D0,27,capture,compression,7,16.786879852152996
D0,27,capture,velocity,0,2.5700324028478536
D0,27,capture,velocity,1,2.564564355429327
D0,27,capture,velocity,2,2.568134698275126
D0,27,capture,velocity,3,2.571135781108065
D0,27,capture,velocity,4,2.5724866107622453
D0,27,capture,velocity,5,2.57293466771657
D0,27,capture,velocity,6,2.573321286656471
D0,27,capture,velocity,7,2.5745970860621212
D0,27,capture,smoothness,0,0.6419781212979151
D0,27,capture,smoothness,1,0.643900637739393
D0,27,capture,smoothness,2,0.6431803934648972
D0,27,capture,smoothness,3,0.6433976119317524
D0,27,capture,smoothness,4,0.6452637878112774
D0,27,capture,smoothness,5,0.6456895264803383
D0,27,capture,smoothness,6,0.6456098641902968
D0,27,capture,smoothness,7,0.6456344305990446
D0,27,hold,object,0,59.97630977936375
D0,27,hold,object,1,59.90392003668365
D0,27,hold,object,2,59.86979005664325
